method_name,cluster_label
buildGlobalNameRegistries,0
getGlobalDecl,0
getGlobalDeclFromGrammar,0
canAddComponent,0
addGlobalComponent,0
null2EmptyString,1
emptyString2Null,1
doc2SystemId,1
parseSchema,1
validateAnnotations,1
createAnnotationValidator,1
getGrammar,1
findGrammar,1
constructTrees,1
isExistingGrammar,1
updateImportListFor,1
updateImportListWith,1
traverseSchemas,1
needReportTNSError,1
addGlobalAttributeDecl,1
addGlobalAttributeGroupDecl,1
addGlobalElementDecl,1
addGlobalGroupDecl,1
addGlobalNotationDecl,1
addGlobalTypeDecl,1
addIDConstraintDecl,1
getGlobalAttributeDecl,1
getGlobalAttributeGroupDecl,1
getGlobalElementDecl,1
getGlobalGroupDecl,1
getGlobalNotationDecl,1
getGlobalTypeDecl,1
getIDConstraintDecl,1
traverseGlobalDecl,1
schemaDocument2SystemId,1
getGrpOrAttrGrpRedefinedByRestriction,1
resolveKeyRefs,1
getIDRegistry,1
getIDRegistry_sub,1
storeKeyRef,1
resolveSchema,1
resolveSchemaSource,1
getSchemaDocument,1
getSchemaDocument0,1
getSchemaDocument1,1
expandGrammars,1
existingGrammars,1
canAddComponents,1
addGrammars,1
addGrammarComponents,1
createGrammarFrom,1
addNewGrammarLocations,1
addNewImportedGrammars,1
updateImportList,1
addNewGrammarComponents,1
addGlobalElementDecls,1
addGlobalAttributeDecls,1
addGlobalAttributeGroupDecls,1
addGlobalNotationDecls,1
addGlobalGroupDecls,1
addGlobalTypeDecls,1
expandComponents,1
expandRelatedComponents,1
expandRelatedAttributeComponents,1
expandRelatedElementComponents,1
expandRelatedTypeComponents,1
expandRelatedModelGroupDefinitionComponents,1
expandRelatedAttributeGroupComponents,1
expandRelatedComplexTypeComponents,1
expandRelatedSimpleTypeComponents,1
expandRelatedAttributeUsesComponents,1
expandRelatedAttributeUseComponents,1
expandRelatedParticleComponents,1
expandRelatedModelGroupComponents,1
addRelatedType,1
addRelatedElement,1
addRelatedAttribute,1
addGlobalComponents,1
updateImportDependencies,1
expandImportList,1
addImportList,1
containedImportedGrammar,1
getSchemaGrammar,1
findDependentNamespaces,1
addNamespaceDependency,1
reportSharingError,1
createTraversers,1
prepareForParse,1
prepareForTraverse,1
setDeclPool,1
setDVFactory,1
traverseLocalElements,1
removeParticle,1
fillInLocalElemInfo,1
checkForDuplicateNames,1
renameRedefiningComponents,1
findQName,1
changeRedefineGroup,1
findXSDocumentForDecl,1
nonAnnotationContent,1
setSchemasVisible,1
element2Locator,1
reportSchemaError,1
reportSchemaWarning,1
setGenerateSyntheticAnnotations,1
reset,2
